Time, Stove, Ready, Assistants, Remarks
127,empty ,none ,none ,karekare cooking ended. 
128,empty ,none ,karekare(prep=20) ,Cleaning stove. karekare is added to cooking state. 
129,empty ,none ,karekare(prep=19) ,---
130,empty ,none ,karekare(prep=18) ,---
131,empty ,none ,karekare(prep=17) ,---
132,empty ,none ,karekare(prep=16) ,---
133,empty ,none ,karekare(prep=15) ,---
134,empty ,none ,karekare(prep=14) ,---
135,empty ,none ,karekare(prep=13) ,---
136,empty ,none ,karekare(prep=12) ,---
137,empty ,none ,karekare(prep=11) ,---
138,empty ,none ,karekare(prep=10) ,---
139,empty ,none ,karekare(prep=9) ,---
140,empty ,none ,karekare(prep=8) ,---
141,empty ,none ,karekare(prep=7) ,---
142,empty ,none ,karekare(prep=6) ,---
143,empty ,none ,karekare(prep=5) ,---
144,empty ,none ,karekare(prep=4) ,---
145,empty ,none ,karekare(prep=3) ,---
146,empty ,none ,karekare(prep=2) ,---
147,empty ,none ,karekare(prep=1) ,---
148,empty ,karekare(cook=10) ,none ,karekare is added to ready state. Preheating stove. 
149,karekare(cook=10) ,none ,none ,Started Cooking karekare. 
150,karekare(cook=9) ,none ,none ,---
151,karekare(cook=8) ,none ,none ,---
152,karekare(cook=7) ,none ,none ,---
153,karekare(cook=6) ,none ,none ,---
154,karekare(cook=5) ,none ,none ,---
155,karekare(cook=4) ,none ,none ,---
156,karekare(cook=3) ,none ,none ,---
157,karekare(cook=2) ,none ,none ,---
158,karekare(cook=1) ,none ,none ,---
159,empty ,none ,none ,karekare cooking ended. 
160,empty ,none ,karekare(prep=20) ,Cleaning stove. karekare is added to cooking state. 
161,empty ,none ,karekare(prep=19) ,---
162,empty ,none ,karekare(prep=18) ,---
163,empty ,none ,karekare(prep=17) ,---
164,empty ,none ,karekare(prep=16) ,---
165,empty ,none ,karekare(prep=15) ,---
166,empty ,none ,karekare(prep=14) ,---
167,empty ,none ,karekare(prep=13) ,---
168,empty ,none ,karekare(prep=12) ,---
169,empty ,none ,karekare(prep=11) ,---
170,empty ,none ,karekare(prep=10) ,---
171,empty ,none ,karekare(prep=9) ,---
172,empty ,none ,karekare(prep=8) ,---
173,empty ,none ,karekare(prep=7) ,---
174,empty ,none ,karekare(prep=6) ,---
175,empty ,none ,karekare(prep=5) ,---
176,empty ,none ,karekare(prep=4) ,---
177,empty ,none ,karekare(prep=3) ,---
178,empty ,none ,karekare(prep=2) ,---
179,empty ,none ,karekare(prep=1) ,---
180,empty ,karekare(cook=20) ,none ,karekare is added to ready state. Preheating stove. 
181,karekare(cook=20) ,none ,none ,Started Cooking karekare. 
182,karekare(cook=19) ,none ,none ,---
183,karekare(cook=18) ,none ,none ,---
184,karekare(cook=17) ,none ,none ,---
185,karekare(cook=16) ,none ,none ,---
186,karekare(cook=15) ,none ,none ,---
187,karekare(cook=14) ,none ,none ,---
188,karekare(cook=13) ,none ,none ,---
189,karekare(cook=12) ,none ,none ,---
190,karekare(cook=11) ,none ,none ,---
191,karekare(cook=10) ,none ,none ,---
192,karekare(cook=9) ,none ,none ,---
193,karekare(cook=8) ,none ,none ,---
194,karekare(cook=7) ,none ,none ,---
195,karekare(cook=6) ,none ,none ,---
196,karekare(cook=5) ,none ,none ,---
197,karekare(cook=4) ,none ,none ,---
198,karekare(cook=3) ,none ,none ,---
199,karekare(cook=2) ,none ,none ,---
200,karekare(cook=1) ,none ,none ,---
201,empty ,none ,none ,karekare cooking ended. karekare finished. 
